Date,ID,Aliquot_1,Aliquot_2,Mean_aliquots
3-Nov,197,68,60,64
15-Oct,198,1,3,2
15-Oct,198,7,3,5
3-Nov,199,2,2,2
3-Nov,199,3,4,3.5
19-Nov,201,51,63,57
5-Dec,201,60,62,61
1-Oct,202,31,28,29.5
30-Mar,202,,,
3-Nov,203,63,72,67.5
11-Nov,203,70,69,69.5
14-Oct,207,49,36,42.5
15-Oct,207,52,43,47.5
1-Oct,207,153,136,144.5
14-Oct,214,16,28,22
14-Oct,214,18,31,24.5
1-Oct,222,16,9,12.5
29-Sep,222,19,16,17.5
4-Nov,226,141,149,145
3-Dec,235,46,38,42
4-Dec,235,43,44,43.5
21-Oct,247,21,28,24.5
5-Nov,247,27,33,30
14-Oct,250,11,2,6.5
1-Oct,250,12,3,7.5
3-Dec,251,32,34,33
4-Dec,251,35,38,36.5
3-Dec,254,60,52,56
30-Mar,256,57,50,53.5
4-Dec,257,104,110,107
5-Dec,258,19,31,25
5-Dec,258,30,21,25.5
13-Nov,274,238,215,226.5
14-Nov,274,249,222,235.5
3-Nov,276,122,135,128.5
4-Nov,276,119,157,138
3-Dec,280,1,3,2
3-Dec,280,4,3,3.5
4-Nov,282,127,122,124.5
5-Nov,282,139,128,133.5
16-Sep,284,70,63,66.5
14-Oct,284,74,73,73.5
14-Oct,286,100,95,97.5
14-Oct,286,92,123,107.5
4-Dec,287,4,5,4.5
5-Dec,287,12,10,11
21-Oct,288,145,117,131
21-Oct,288,141,139,140
3-Dec,292,209,228,218.5
3-Dec,292,220,252,236
18-Nov,305,3,2,2.5
3-Dec,305,2,5,3.5
3-Dec,306,1,5,3
4-Dec,306,2,14,8
5-Dec,327,70,101,85.5
4-Dec,331,72,77,74.5
11-Nov,331,77,74,75.5
3-Dec,335,42,30,36
4-Dec,335,36,45,40.5
4-Dec,339,0,1,0.5
14-Oct,340,16,15,15.5
14-Oct,340,21,14,17.5
18-Nov,344,56,61,58.5
5-Dec,353,45,55,50
4-Nov,358,91,90,90.5
5-Dec,358,118,114,116
3-Dec,360,34,32,33
3-Dec,360,67,63,65
5-Dec,365,41,85,63
5-Dec,365,78,80,79
5-Dec,369,3,12,7.5
30-Mar,373,4,3,3.5
30-Mar,373,24,43,33.5
4-Dec,375,32,30,31
4-Nov,375,38,28,33
13-Nov,379,95,90,92.5
3-Nov,379,92,145,118.5
5-Dec,383,94,118,106
10-Nov,383,120,101,110.5
5-Dec,387,9,11,10
5-Dec,387,14,12,13
5-Dec,400,68,78,73
5-Dec,400,73,76,74.5
19-Nov,408,0,1,0.5
5-Dec,408,0,2,1
3-Dec,411,14,15,14.5
4-Dec,411,15,18,16.5
1-Nov,421,101,104,102.5
5-Dec,423,59,52,55.5
3-Dec,423,58,55,56.5
18-Nov,431,30,33,31.5
18-Nov,431,35,31,33
18-Nov,432,6,4,5
19-Nov,432,8,10,9
5-Dec,437,87,84,85.5
5-Nov,439,185,79,132
5-Nov,439,85,205,145
4-Dec,442,86,83,84.5
5-Dec,442,87,90,88.5
3-Dec,452,33,30,31.5
4-Dec,452,35,40,37.5
18-Nov,454,101,108,104.5
19-Nov,454,115,100,107.5
14-Nov,456,105,116,110.5
3-Nov,456,110,113,111.5
14-Oct,490,32,44,38
13-Nov,490,172,75,123.5
14-Oct,492,11,8,9.5
5-Dec,500,224,217,220.5
30-Mar,500,,,
4-Dec,502,3,2,2.5
30-Mar,502,,,
14-Oct,506,12,12,12
14-Oct,506,17,9,13
17-Sep,CAA,190,180,185
17-Sep,CAA,191,196,193.5
5-Dec,CL5,86,10,48
3-Dec,CL5,87,18,52.5
14-Oct,LPR,93,87,90
